DateTime,II
410,2.768544589097994
411,2.6209569574314613
412,2.3396252534403033
413,1.9758593561078306
414,1.603912937256888
415,1.2728324157617255
416,1.0375457865310995
417,0.9057363221456531
418,0.8643377279578052
419,0.8891748400361504
420,0.9335516869371175
421,0.9850792168237565
422,1.0257380552354916
423,1.0557469518845175
424,1.0642525599523858
425,1.069504544689931
426,1.071703588836671
427,1.0790269179522287
428,1.0923489832760322
429,1.110731959022168
430,1.144033985615289
431,1.1658941879929643
432,1.1773480560485696
433,1.1822130162200313
434,1.1723038552988194
435,1.1443215155294229
436,1.1160552810807438
437,1.1001529148637583
438,1.0950463139171676
439,1.0961366414293325
440,1.107776778388878
441,1.1252843753577069
442,1.146058798287702
443,1.1637089405375265
444,1.1795296496964789
445,1.1985344842990393
446,1.2147351295201985
447,1.2344383082056398
448,1.2536165842298088
449,1.2673387465803845
450,1.278005909518646
451,1.2889869892340236
452,1.2956215496657673
453,1.3037143622116292
454,1.3143841866899129
455,1.3282141512572374
456,1.3457069187867647
457,1.3654214798032118
458,1.3917202837211635
459,1.422034676937949
460,1.4544133865959026
461,1.4855242802606352
462,1.50963576286728
463,1.5268669338669667
464,1.5377186810333436
465,1.545839518154026
466,1.552678079521081
467,1.5666627814941958
468,1.5921863803589336
469,1.6250842434122634
470,1.6623075958076994
471,1.6996914360500763
472,1.7326922460446044
473,1.756920378155788
474,1.7685494008386924
475,1.7647233806686509
476,1.7471780938810362
477,1.7137515391550706
478,1.6629171044786446
479,1.6029565263216725
480,1.5396618444479255
481,1.4788750558720467
482,1.4224956689241648
483,1.3745014261151074
484,1.334462587894495
485,1.3007115792044521
486,1.2720064633213812
487,1.2485868159315103
488,1.2319728008738373
489,1.2237186251833103
490,1.2240132268035573
491,1.2310017830447824
492,1.2391594991601447
493,1.2469077812365812
494,1.2509660913894367
495,1.2501490533596364
496,1.2421232059869358
497,1.2343171719888515
498,1.232691209298382
499,1.2321491467616188
500,1.239892402896664
501,1.2496067520321572
502,1.2593747676448028
503,1.2660496037855415
504,1.2700853787879405
505,1.2709666382187486
506,1.269584496000844
507,1.2665818446227188
508,1.2618622879052384
509,1.2548013685134716
510,1.2450782300841092
511,1.233575780105311
512,1.2226749062937419
513,1.2156163776007185
514,1.2152290721917933
515,1.2227046171349165
516,1.2369273504391858
517,1.2553430593108414
518,1.2716823411280769
519,1.2818462220886484
520,1.2815265494196837
521,1.2746788489369254
522,1.2605751242985412
523,1.2469160668367794
524,1.2365914138118952
525,1.238374879992663
526,1.2566376294011101
527,1.2868784991719762
528,1.3298880049882156
529,1.3831922311918199
530,1.4434195561890906
531,1.50343597701764
532,1.5524768137903557
533,1.5820164982197675
534,1.5897283009815575
535,1.5750305850556847
536,1.5413115543951743
537,1.4935034095791815
538,1.4370019076537461
539,1.3771262785040739
540,1.3192047198807197
541,1.2684187942008722
542,1.2290793259181594
543,1.2037886818919243
544,1.1930059351151874
545,1.1950415179345997
546,1.2062202048209958
547,1.221126524183018
548,1.2331337879788251
549,1.2355030616090275
550,1.223173532396822
551,1.194956248767389
552,1.1553906433068777
553,1.1151009825284919
554,1.0909255943598826
555,1.1010849176660262
556,1.1673626973194848
557,1.3107807688840185
558,1.5327402577837332
559,1.8267009682392
560,2.161484452041741
561,2.486659952813114
562,2.7376156152046405
563,2.8635530900143467
564,2.822578843292054
565,2.6200429174515225
566,2.293840899132787
567,1.9131811051447936
568,1.5438729213282274
569,1.242466041047845
570,1.0391484886085478
571,0.9412346391845867
572,0.9316439128197503
573,0.9744778685842875
574,1.0504226407418173
575,1.1263986195342581
576,1.185861054612137
577,1.2212277453561386
578,1.2324004678130278
579,1.2248314870439978
580,1.2061766330243018
581,1.1840368781925086
582,1.1649119407012358
583,1.1554405092216415
584,1.156736523487318
585,1.1710947411508796
586,1.1933257383980833
587,1.2197142667070227
588,1.2467580120994606
589,1.2689647129096817
590,1.2805709026910914
591,1.277816491336323
592,1.2604991222100723
593,1.2387644132954096
594,1.2173203009541766
595,1.2026859074560536
596,1.1984169316452096
597,1.2051030566685208
598,1.225189772961245
599,1.249040722561204
600,1.276978051736518
601,1.306110972548992
602,1.3334278173333636
603,1.3564727875280362
604,1.3736339395030945
605,1.3843126747293097
606,1.3889744239285664
607,1.3887982053120052
608,1.3829952960502099
609,1.3813818022330457
610,1.3833377105209812
611,1.391559520555368
612,1.4073242048299481
613,1.4301585563753612
614,1.4605214018113957
615,1.4983142259344433
616,1.538153145016865
617,1.582228163414564
618,1.624956920619299
619,1.6663238466596497
620,1.7052296826685376
621,1.737640950195486
622,1.7624041845769356
623,1.7760550576043694
624,1.7758055930620373
