DateTime,II
0,0.955946275946276
1,0.9312332112332112
2,0.9278632478632478
3,0.9581929181929182
4,0.9851526251526252
5,0.9873992673992674
6,0.9862759462759464
7,0.9806593406593408
8,0.9862759462759464
9,0.9986324786324786
10,1.002002442002442
11,0.9907692307692308
12,0.9806593406593408
13,0.976166056166056
14,0.9784126984126984
15,0.9975091575091576
16,0.9851526251526252
17,0.9683028083028083
18,0.9581929181929182
19,0.9424664224664224
20,0.9492063492063492
21,0.9638095238095238
22,0.9334798534798536
23,0.9121367521367522
24,0.902026862026862
25,0.9312332112332112
26,0.9368498168498168
27,0.9548229548229548
28,0.9604395604395604
29,0.966056166056166
30,1.0177289377289378
31,1.049181929181929
32,1.0896214896214895
33,1.1255677655677656
34,1.1783638583638585
35,1.221050061050061
36,1.3019291819291818
37,1.3468620268620268
38,1.4243711843711844
39,1.511990231990232
40,1.5838827838827838
41,1.6254456654456657
42,1.6737484737484738
43,1.7287912087912087
44,1.7872039072039072
45,1.84
46,1.8624664224664225
47,1.8905494505494504
48,1.8984126984126983
49,1.9006593406593408
50,1.9287423687423688
51,1.915262515262516
52,1.89953601953602
53,1.9253724053724053
54,1.9186324786324789
55,1.9388522588522588
56,1.963565323565324
57,1.9882783882783883
58,2.032087912087912
59,2.077020757020757
60,2.087130647130647
61,2.093870573870574
62,2.087130647130647
63,2.069157509157509
64,2.03995115995116
65,2.004004884004884
66,1.9422222222222223
67,1.904029304029304
68,1.8265201465201464
69,1.7591208791208792
70,1.7153113553113553
71,1.6827350427350427
72,1.6715018315018315
73,1.6625152625152626
74,1.6715018315018315
75,1.658021978021978
76,1.6703785103785105
77,1.6445421245421246
78,1.6490354090354091
79,1.675995115995116
80,1.659145299145299
81,1.677118437118437
82,1.6793650793650794
83,1.677118437118437
84,1.705201465201465
85,1.693968253968254
86,1.6950915750915752
87,1.6883516483516483
88,1.702954822954823
89,1.6984615384615385
90,1.6973382173382174
91,1.6816117216117217
92,1.665885225885226
93,1.711941391941392
94,1.7872039072039072
95,1.9714285714285715
96,2.274725274725274
97,2.587008547008547
98,2.888058608058608
99,3.132942612942613
100,3.2452747252747254
101,3.325030525030525
102,3.421636141636142
103,3.503638583638584
104,3.5047619047619047
105,3.5047619047619047
106,3.5047619047619047
107,3.503638583638584
108,3.5047619047619047
109,3.5025152625152627
110,3.5058852258852258
111,3.5058852258852258
112,3.2857142857142856
113,3.030720390720391
114,2.8206593406593408
115,2.587008547008547
116,2.3185347985347984
117,2.018608058608059
118,1.7467643467643468
119,1.4805372405372406
120,1.248009768009768
121,1.0974847374847374
122,0.9941391941391942
123,0.9548229548229548
124,0.9278632478632478
125,0.9503296703296704
126,0.9346031746031748
127,0.9492063492063492
128,0.9357264957264956
129,0.9649328449328448
130,0.9581929181929182
131,0.9952625152625152
132,1.002002442002442
133,1.0042490842490843
134,0.9907692307692308
135,0.9817826617826618
136,0.993015873015873
137,0.9795360195360197
138,0.9862759462759464
139,0.9716727716727716
140,0.9795360195360197
141,0.9536996336996336
142,0.9514529914529914
143,0.9402197802197804
144,0.9346031746031748
145,0.9334798534798536
146,0.9155067155067156
147,0.9065201465201466
148,0.9278632478632478
149,0.9166300366300366
150,0.92
151,0.9244932844932844
152,0.9233699633699634
153,0.9492063492063492
154,0.9817826617826618
155,1.0143589743589745
156,1.0424420024420025
157,1.0783882783882783
158,1.13006105006105
159,1.1907203907203907
160,1.267106227106227
161,1.3255189255189257
162,1.356971916971917
163,1.428864468864469
164,1.4895238095238097
165,1.5445665445665446
166,1.61982905982906
167,1.6737484737484738
168,1.7175579975579975
169,1.7703540903540904
170,1.811916971916972
171,1.84
172,1.868083028083028
173,1.8871794871794871
174,1.9085225885225885
175,1.911892551892552
176,1.932112332112332
177,1.9197557997558
178,1.9366056166056167
179,1.9242490842490845
180,1.952332112332112
181,1.9534554334554333
182,1.989401709401709
183,2.023101343101343
184,2.084884004884005
185,2.1264468864468866
186,2.138803418803419
187,2.1197069597069595
188,2.1152136752136754
189,2.0781440781440783
190,2.0421978021978022
191,2.015238095238096
192,1.9500854700854704
193,1.9096459096459093
194,1.8366300366300363
195,1.7748473748473748
196,1.756874236874237
197,1.7153113553113553
198,1.7242979242979244
199,1.7231746031746031
200,1.7085714285714286
201,1.7018315018315018
202,1.6950915750915752
203,1.702954822954823
204,1.7085714285714286
205,1.7096947496947497
206,1.7231746031746031
207,1.7287912087912087
208,1.7209279609279609
209,1.74002442002442
210,1.7321611721611725
211,1.7478876678876678
212,1.7445177045177045
213,1.757997557997558
214,1.75013431013431
215,1.757997557997558
216,1.7535042735042734
217,1.7175579975579975
218,1.7141880341880342
219,1.7478876678876678
220,1.8804395604395605
221,2.1466666666666665
222,2.4297435897435897
223,2.7588766788766788
224,3.023980463980464
225,3.15990231990232
226,3.271111111111112
227,3.355360195360196
228,3.4924053724053725
229,3.5047619047619047
230,3.503638583638584
231,3.503638583638584
232,3.5047619047619047
233,3.5058852258852258
234,3.503638583638584
235,3.5058852258852258
236,3.503638583638584
237,3.5025152625152627
238,3.3654700854700854
239,3.1104761904761906
240,2.8801953601953603
241,2.651037851037851
242,2.369084249084249
243,2.107350427350428
244,1.8265201465201464
245,1.5647863247863247
246,1.3345054945054946
247,1.1368009768009768
248,1.00986568986569
249,0.9065201465201466
250,0.8863003663003663
251,0.8863003663003663
252,0.9053968253968254
253,0.9143833943833944
254,0.9548229548229548
255,0.9638095238095238
256,0.9795360195360197
257,0.9727960927960928
258,0.9795360195360197
259,0.973919413919414
260,0.9829059829059827
261,0.9817826617826618
262,0.9683028083028083
263,0.9615628815628816
264,0.9548229548229548
265,0.9514529914529914
266,0.9626862026862026
267,0.9514529914529914
268,0.948083028083028
269,0.9222466422466422
270,0.9211233211233212
271,0.9132600732600732
272,0.9053968253968254
273,0.9053968253968254
274,0.8829304029304029
275,0.8964102564102564
276,0.8975335775335775
277,0.9166300366300366
278,0.9143833943833944
279,0.9244932844932844
280,0.957069597069597
281,0.9705494505494504
282,1.010989010989011
283,1.0694017094017094
284,1.112087912087912
285,1.1536507936507936
286,1.2064468864468865
287,1.291819291819292
288,1.3592185592185593
289,1.4165079365079365
290,1.4985103785103786
291,1.5535531135531135
292,1.6187057387057386
293,1.6703785103785105
294,1.72991452991453
295,1.7782173382173383
296,1.825396825396825
297,1.86021978021978
298,1.8984126984126983
299,1.9107692307692308
300,1.9264957264957263
301,1.914139194139194
302,1.9197557997558
303,1.9309890109890109
304,1.9332356532356527
305,1.9298656898656896
306,1.9467155067155064
307,1.9534554334554333
308,1.9613186813186807
309,1.9995115995115995
310,2.033211233211233
311,2.066910866910867
312,2.1006105006105007
313,2.121953601953602
314,2.107350427350428
315,2.0882539682539685
316,2.0657875457875456
317,2.02984126984127
318,1.9747985347985348
319,1.9096459096459093
320,1.87931623931624
321,1.8074236874236875
322,1.7546275946275949
323,1.7287912087912087
324,1.686105006105006
325,1.665885225885226
326,1.6557753357753358
327,1.6411721611721612
328,1.6276923076923078
329,1.64004884004884
330,1.6613919413919414
331,1.6613919413919414
332,1.6692551892551892
333,1.6692551892551892
334,1.6625152625152626
335,1.684981684981685
336,1.675995115995116
337,1.684981684981685
338,1.7096947496947497
339,1.7074481074481074
340,1.7096947496947497
341,1.7164346764346765
342,1.7186813186813186
343,1.7085714285714286
344,1.677118437118437
